"Date","Description","Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate","Pace","Avg Watts","Cal/Hour","Avg Heart Rate","Age","Weight","Type","Ranked","Comments"
"2016-11-11 00:00:00","2,188m row","17:00.0","1020","","","2188","","","3:53.0","28","396","","60","Lwt","Indoor Rower","No",""
"2016-11-10 00:00:00","0m row","","0","","","0","","","","","","","60","Lwt","Indoor Rower","No",""
"2016-11-09 00:00:00","0m row","","0","","","0","","","","","","","60","Lwt","Indoor Rower","No",""
"2016-11-08 00:00:00","0m row","","0","","","0","","","","","","","60","Lwt","Indoor Rower","No",""
"2016-11-07 00:00:00","0m row","","0","","","0","","","","","","","60","Lwt","Indoor Rower","No",""
"2016-11-06 00:00:00","1,235m row","10:00.0","600","","","1235","","","4:02.9","24","382","","60","Lwt","Indoor Rower","No",""
"2016-11-05 00:00:00","0m row","","0","","","0","","","","","","","60","Lwt","Indoor Rower","No",""
"2016-11-04 00:00:00","0m row","","0","","","0","","","","","","","60","Lwt","Indoor Rower","No",""
"2016-11-03 00:00:00","0m row","","0","","","0","","","","","","","60","Lwt","Indoor Rower","No",""
"2016-11-02 00:00:00","4,098m row","30:00.0","1800","","","4098","","","3:39.6","33","413","","60","Lwt","Indoor Rower","No",""
"2016-11-01 00:00:00","0m row","","0","","","0","","","","","","","60","Lwt","Indoor Rower","No",""
"2016-10-31 00:00:00","0m row","","0","","","0","","","","","","","60","Lwt","Indoor Rower","No",""
"2016-10-30 00:00:00","0m row","","0","","","0","","","","","","","60","Lwt","Indoor Rower","No",""
"2016-10-29 00:00:00","1,714m row","15:00.0","900","","","1714","","","4:22.5","19","365","","60","Lwt","Indoor Rower","No",""
"2016-10-28 00:00:00","0m row","","0","","","0","","","","","","","60","Lwt","Indoor Rower","No",""
"2016-10-27 00:00:00","0m row","","0","","","0","","","","","","","60","Lwt","Indoor Rower","No",""
"2016-10-26 00:00:00","3,803m row","26:42.9","1602.9","","","3803","","","3:30.7","37","427","","60","Lwt","Indoor Rower","No",""
"2016-10-25 00:00:00","0m row","","0","","","0","","","","","","","60","Lwt","Indoor Rower","No",""
"2016-10-24 00:00:00","4,372m row","29:29.0","1769","","","4372","","","3:22.3","42","444","","60","Lwt","Indoor Rower","No",""
"2016-10-23 00:00:00","3,929m row","27:03.0","1623","","","3929","","","3:26.5","40","437","","60","Lwt","Indoor Rower","No",""
"2016-10-22 00:00:00","2,994m row","22:01.0","1321","","","2994","","","3:40.6","33","413","","60","Lwt","Indoor Rower","No",""
"2016-10-21 00:00:00","0m row","","0","","","0","","","","","","","60","Lwt","Indoor Rower","No",""
"2016-10-20 00:00:00","1,233m row","10:00.0","600","","","1233","","","4:03.3","24","382","","60","Lwt","Indoor Rower","No",""
"2016-10-19 00:00:00","1,712m row","12:08.0","728","","","1712","","","3:32.6","36","424","","60","Lwt","Indoor Rower","No",""
"2016-10-18 00:00:00","1,377m row","10:00.0","600","","","1377","","","3:37.8","34","417","","60","Lwt","Indoor Rower","No",""
"2016-10-17 00:00:00","0m row","","0","","","0","","","","","","","60","Lwt","Indoor Rower","No",""
"2016-10-16 00:00:00","2,910m row","22:00.0","1320","","","2910","","","3:46.8","30","403","","60","Lwt","Indoor Rower","No",""
"2016-10-15 00:00:00","4,063m row","31:00.0","1860","","","4063","","","3:48.8","29","400","","60","Lwt","Indoor Rower","No",""
"2016-10-14 00:00:00","2,672m row","20:00.0","1200","","","2672","","","3:44.5","31","407","","60","Lwt","Indoor Rower","No",""
"2016-10-13 00:00:00","0m row","","0","","","0","","","","","","","60","Lwt","Indoor Rower","No",""
"2016-10-12 00:00:00","4,000m row","33:00.0","1980","","","4000","","","4:07.5","23","379","","60","Lwt","Indoor Rower","No",""
"2016-10-11 00:00:00","1,856m row","15:00.0","900","","","1856","","","4:02.4","25","386","","60","Lwt","Indoor Rower","No",""
"2016-10-10 00:00:00","673m row","5:00.0","300","","","673","","","3:42.8","32","410","","60","Lwt","Indoor Rower","No",""
"2016-10-09 00:00:00","3,000m row","21:44.0","1304","","","3000","","","3:37.3","34","417","","60","Lwt","Indoor Rower","No",""
"2016-10-08 00:00:00","350m row","3:00.0","180","","","350","","","4:17.1","21","372","","60","Lwt","Indoor Rower","No",""
"2016-10-07 00:00:00","2,665m row","23:00.0","1380","","","2665","","","4:18.9","20","369","","60","Lwt","Indoor Rower","No",""
"2016-10-06 00:00:00","1,100m row","10:00.0","600","","","1100","","","4:32.7","17","358","","60","Lwt","Indoor Rower","No",""
"2016-10-05 00:00:00","1,351m row","11:00.0","660","","","1351","","","4:04.2","24","382","","60","Lwt","Indoor Rower","No",""
"2016-10-04 00:00:00","0m row","","0","","","0","","","","","","","60","Lwt","Indoor Rower","No",""
"2016-10-03 00:00:00","2,383m row","20:00.0","1200","","","2383","","","4:11.7","22","376","","60","Lwt","Indoor Rower","No",""
"2016-10-02 00:00:00","1,577m row","13:05.0","785","","","1577","","","4:08.8","23","379","","60","Lwt","Indoor Rower","No",""
"2016-10-01 00:00:00","4,247m row","32:55.0","1975","","","4247","","","3:52.5","28","396","","60","Lwt","Indoor Rower","No",""
"2016-09-30 00:00:00","2,107m row","20:00.0","1200","","","2107","","","4:44.7","15","352","","60","Lwt","Indoor Rower","No",""
"2016-09-29 00:00:00","2,242m row","20:00.0","1200","","","2242","","","4:27.6","18","362","","60","Lwt","Indoor Rower","No",""
"2016-09-28 00:00:00","450m row","4:00.0","240","","","450","","","4:26.6","18","362","","60","Lwt","Indoor Rower","No",""
"2016-09-27 00:00:00","0m row","","0","","","0","","","","","","","60","Lwt","Indoor Rower","No",""
"2016-09-26 00:00:00","1,984m row","15:00.0","900","","","1984","","","3:46.8","30","403","","60","Lwt","Indoor Rower","No",""
"2016-09-25 00:00:00","1,956m row","15:02.0","902","","","1956","","","3:50.5","29","400","","60","Lwt","Indoor Rower","No",""
"2016-09-24 00:00:00","3,965m row","30:03.0","1803","","","3965","","","3:47.3","30","403","","60","Lwt","Indoor Rower","No",""
"2016-09-23 00:00:00","2,105m row","15:00.0","900","","","2105","","","3:33.7","36","424","","60","Lwt","Indoor Rower","No",""
"2016-09-22 00:00:00","0m row","","0","","","0","","","","","","","60","Lwt","Indoor Rower","No",""
"2016-09-21 00:00:00","4,347m row","31:07.0","1867","","","4347","","","3:34.7","35","420","","60","Lwt","Indoor Rower","No",""
"2016-09-20 00:00:00","1,819m row","13:54.0","834","","","1819","","","3:49.2","29","400","","60","Lwt","Indoor Rower","No",""
"2016-09-19 00:00:00","2,000m row","15:33.0","933","","","2000","","","3:53.2","28","396","","60","Lwt","Indoor Rower","No",""
"2016-09-18 00:00:00","3,286m row","25:00.0","1500","","","3286","","","3:48.2","29","400","","60","Lwt","Indoor Rower","No",""
"2016-09-17 00:00:00","1,315m row","10:00.0","600","","","1315","","","3:48.1","29","400","","60","Lwt","Indoor Rower","No",""
"2016-09-16 00:00:00","0m row","","0","","","0","","","","","","","60","Lwt","Indoor Rower","No",""
"2016-09-15 00:00:00","3,193m row","28:40.0","1720","","","3193","","","4:29.3","18","362","","60","Lwt","Indoor Rower","No",""
"2016-09-14 00:00:00","0m row","","0","","","0","","","","","","","60","Lwt","Indoor Rower","No",""
"2016-09-13 00:00:00","0m row","","0","","","0","","","","","","","60","Lwt","Indoor Rower","No","Urine test"
"2016-09-12 00:00:00","1,622m row","11:04.0","664","","","1622","","","3:24.6","41","441","","60","Lwt","Indoor Rower","No",""
"2016-09-11 00:00:00","6,294m row","46:09.0","2769","","","6294","","","3:39.9","33","413","","60","Lwt","Indoor Rower","No",""
"2016-09-10 00:00:00","6,354m row","44:56.0","2696","","","6354","","","3:32.1","37","427","","60","Lwt","Indoor Rower","No",""
"2016-09-09 00:00:00","4,583m row","32:03.0","1923","","","4583","","","3:29.8","38","431","","60","Lwt","Indoor Rower","No",""
"2016-09-08 00:00:00","2,341m row","17:00.0","1020","","","2341","","","3:37.8","34","417","","60","Lwt","Indoor Rower","No",""
"2016-09-07 00:00:00","300m row","3:00.0","180","","","300","","","5:00.0","13","345","","60","Lwt","Indoor Rower","No",""
"2016-09-06 00:00:00","1,397m row","10:05.0","605","","","1397","","","3:36.5","34","417","","60","Lwt","Indoor Rower","No",""
"2016-09-05 00:00:00","2,984m row","22:03.0","1323","","","2984","","","3:41.6","32","410","","60","Lwt","Indoor Rower","No",""
"2016-09-04 00:00:00","4,688m row","34:04.0","2044","","","4688","","","3:38.0","34","417","","60","Lwt","Indoor Rower","No",""
"2016-09-03 00:00:00","2,263m row","19:00.0","1140","","","2263","","","4:11.8","22","376","","60","Lwt","Indoor Rower","No",""
"2016-09-02 00:00:00","0m row","","0","","","0","","","","","","","60","Lwt","Indoor Rower","No",""
"2016-09-01 00:00:00","2,491m row","20:00.0","1200","","","2491","","","4:00.8","25","386","","60","Lwt","Indoor Rower","No",""
"2016-08-31 00:00:00","614m row","5:00.0","300","","","614","","","4:04.3","24","382","","60","Lwt","Indoor Rower","No",""
"2016-08-30 00:00:00","3,065m row","30:00.0","1800","","","3065","","","4:53.6","14","348","","60","Lwt","Indoor Rower","No",""
"2016-08-29 00:00:00","3,247m row","25:52.0","1552","","","3247","","","3:58.9","26","389","","60","Lwt","Indoor Rower","No",""
"2016-08-28 00:00:00","0m row","","0","","","0","","","","","","","60","Lwt","Indoor Rower","No",""
"2016-08-27 00:00:00","1,194m row","10:00.0","600","","","1194","","","4:11.2","22","376","","60","Lwt","Indoor Rower","No",""
"2016-08-26 00:00:00","4,574m row","32:00.0","1920","","","4574","","","3:29.8","38","431","","60","Lwt","Indoor Rower","No",""
"2016-08-25 00:00:00","4,246m row","32:00.0","1920","","","4246","","","3:46.1","30","403","","60","Lwt","Indoor Rower","No",""
"2016-08-24 00:00:00","0m row","","0","","","0","","","","","","","60","Lwt","Indoor Rower","No",""
"2016-08-23 00:00:00","4,419m row","30:03.0","1803","","","4419","","","3:24.0","41","441","","60","Lwt","Indoor Rower","No",""
"2016-08-22 00:00:00","2,185m row","15:41.0","941","","","2185","","","3:35.3","35","420","","60","Lwt","Indoor Rower","No",""
"2016-08-21 00:00:00","3,559m row","24:31.0","1471","","","3559","","","3:26.6","40","437","","60","Lwt","Indoor Rower","No",""
"2016-08-20 00:00:00","3,333m row","23:36.0","1416","","","3333","","","3:32.4","37","427","","60","Lwt","Indoor Rower","No",""
"2016-08-19 00:00:00","3,130m row","24:17.0","1457","","","3130","","","3:52.7","28","396","","60","Lwt","Indoor Rower","No",""
"2016-08-18 00:00:00","2,000m row","15:56.0","956","","","2000","","","3:59.0","26","389","","60","Lwt","Indoor Rower","No",""
"2016-08-17 00:00:00","0m row","","0","","","0","","","","","","","60","Lwt","Indoor Rower","No",""
